rgn_id,year,species,llic,number,lbs,family,mus,X9
2,2015,Tombo,20,215,9441,Scombridae,PMUS,pelagic
2,2016,Tombo,5,27,1238,Scombridae,PMUS,pelagic
2,2017,Tombo,7,183,9771,Scombridae,PMUS,pelagic
1,2012,Tombo,201,10313,494443,Scombridae,PMUS,pelagic
1,2013,Tombo,98,587,27461,Scombridae,PMUS,pelagic
1,2014,Tombo,130,2191,96528,Scombridae,PMUS,pelagic
1,2015,Tombo,127,2893,126991,Scombridae,PMUS,pelagic
1,2016,Tombo,98,1069,49160,Scombridae,PMUS,pelagic
1,2017,Tombo,78,1040,54545,Scombridae,PMUS,pelagic
2,2014,Tuna-misc.,6,19,103,Scombridae,PMUS,pelagic
1,2012,Tuna-misc.,3,3,237,Scombridae,PMUS,pelagic
1,2013,Tuna-misc.,3,23,160,Scombridae,PMUS,pelagic
1,2015,Tuna-misc.,3,7,233,Scombridae,PMUS,pelagic
2,2012,Yellowfin tuna,100,1552,42022,Scombridae,PMUS,pelagic
2,2013,Yellowfin tuna,89,1099,35806,Scombridae,PMUS,pelagic
2,2014,Yellowfin tuna,89,2161,38514,Scombridae,PMUS,pelagic
2,2015,Yellowfin tuna,99,3584,75638,Scombridae,PMUS,pelagic
2,2016,Yellowfin tuna,62,1431,29628,Scombridae,PMUS,pelagic
2,2017,Yellowfin tuna,72,1852,55586,Scombridae,PMUS,pelagic
1,2012,Yellowfin tuna,401,19446,559220,Scombridae,PMUS,pelagic
1,2013,Yellowfin tuna,387,19228,629073,Scombridae,PMUS,pelagic
1,2014,Yellowfin tuna,398,18008,643798,Scombridae,PMUS,pelagic
1,2015,Yellowfin tuna,368,16514,527936,Scombridae,PMUS,pelagic
1,2016,Yellowfin tuna,305,10382,335820,Scombridae,PMUS,pelagic
1,2017,Yellowfin tuna,308,7687,440774,Scombridae,PMUS,pelagic
2,2015,Swordfish,3,3,187,Xiphiidae,PMUS,pelagic
2,2016,Swordfish,3,5,513,Xiphiidae,PMUS,pelagic
2,2017,Swordfish,4,4,648,Xiphiidae,PMUS,pelagic
1,2012,Swordfish,31,50,5830,Xiphiidae,PMUS,pelagic
1,2013,Swordfish,18,26,3195,Xiphiidae,PMUS,pelagic
1,2014,Swordfish,30,42,4509,Xiphiidae,PMUS,pelagic
1,2015,Swordfish,30,43,4160,Xiphiidae,PMUS,pelagic
1,2016,Swordfish,17,26,2712,Xiphiidae,PMUS,pelagic
1,2017,Swordfish,23,32,4185,Xiphiidae,PMUS,pelagic
